,current_nA,time_s,substrate_reference_mM,SMA_10
593,0.432142,593,0.0,0.0
594,0.263043,594,0.0,0.0
595,0.31940900000000005,595,0.0,0.0
596,0.263043,596,0.0,0.0
597,0.36638100000000007,597,0.0,0.0
598,0.422748,598,0.0,0.0
599,0.413354,599,0.0,0.0
600,0.39456500000000005,600,0.0,0.0
601,0.31940900000000005,601,0.0,0.0
602,0.23486,602,0.0,0.0
603,0.432142,603,0.0,0.0
604,0.38517,604,0.0,0.0
605,0.31001500000000004,605,0.0,0.0
606,0.31940900000000005,606,0.0,0.0
607,0.22546500000000003,607,0.0,0.0
608,0.413354,608,0.0,0.0
609,0.338198,609,0.0,0.0
610,0.403959,610,0.0,0.0
611,0.338198,611,0.0,0.0
612,0.36638100000000007,612,0.0,0.0
613,0.37577600000000005,613,0.0,0.0
614,0.356987,614,0.0,0.0
615,0.338198,615,0.0,0.0
616,0.338198,616,0.0,0.0
617,0.3194095,617,0.0,0.0
618,0.30062099999999997,618,0.0,0.0
619,0.30062099999999997,619,0.0,0.0
620,0.253649,620,0.0,0.0
621,0.2841805,621,0.0,0.0
622,0.291226,622,0.0,0.0
623,0.291226,623,0.0,0.0
624,0.31940950000000007,624,0.0,0.0
625,0.34759300000000004,625,0.0,0.0
626,0.34759300000000004,626,0.0,0.0
627,0.31940900000000005,627,0.0,0.0
628,0.30062099999999997,628,0.0,0.0
629,0.338198,629,0.0,0.0
630,0.37577600000000005,630,0.0,0.0
631,0.338198,631,0.0,0.0
632,0.272437,632,0.0,0.0
633,0.244254,633,0.0,0.0
634,0.338198,634,0.0,0.0
635,0.36638100000000007,635,0.0,0.0
636,0.36403250000000004,636,0.0,0.0
637,0.36638100000000007,637,0.0,0.0
638,0.38517,638,0.0,0.0
639,0.291226,639,0.0,0.0
640,0.338198,640,0.0,0.0
641,0.30062099999999997,641,0.0,0.0
642,0.403959,642,0.0,0.0
643,0.37577600000000005,643,0.0,0.0
644,0.356987,644,0.0,0.0
645,0.403959,645,0.0,0.0
646,0.31940900000000005,646,0.0,0.0
647,0.356987,647,0.0,0.0
648,0.34759300000000004,648,0.0,0.0
649,0.23486,649,0.0,0.0
650,0.263043,650,0.0,0.0
651,0.338198,651,0.0,0.0
652,0.31940900000000005,652,0.0,0.0
653,0.281832,653,0.0,0.0
654,0.338198,654,0.0,0.0
655,0.356987,655,0.0,0.0
656,0.32880400000000004,656,0.0,0.0
657,0.33350100000000005,657,0.0,0.0
658,0.31001500000000004,658,0.0,0.0
659,0.338198,659,0.0,0.0
660,0.31940900000000005,660,0.0,0.0
661,0.32880400000000004,661,0.0,0.0
662,0.326455,662,0.0,0.0
663,0.338198,663,0.0,0.0
664,0.31940900000000005,664,0.0,0.0
665,0.33350075000000007,665,0.0,0.0
666,0.356987,666,0.0,0.0
667,0.31940900000000005,667,0.0,0.0
668,0.291226,668,0.0,0.0
669,0.38517,669,0.0,0.0
670,0.31940900000000005,670,0.0,0.0
671,0.272437,671,0.0,0.0
672,0.338198,672,0.0,0.0
673,0.31001500000000004,673,0.0,0.0
674,0.22546500000000003,674,0.0,0.0
675,0.253649,675,0.0,0.0
676,0.2653915,676,0.0,0.0
677,0.291226,677,0.0,0.0
678,0.291226,678,0.0,0.0
679,0.37577600000000005,679,0.0,0.0
680,0.31940900000000005,680,0.0,0.0
681,0.3546385000000001,681,0.0,0.0
682,0.37577600000000005,682,0.0,0.0
683,0.34759300000000004,683,0.0,0.0
684,0.34759300000000004,684,0.0,0.0
685,0.291226,685,0.0,0.0
686,0.253649,686,0.0,0.0
687,0.31001500000000004,687,0.0,0.0
688,0.356987,688,0.0,0.0
689,0.422748,689,0.0,0.0
690,0.37577600000000005,690,0.0,0.0
691,0.281832,691,0.0,0.0
692,0.30062099999999997,692,0.0,0.0
693,0.263043,693,0.0,0.0
694,0.22546500000000003,694,0.0,0.0
695,0.244254,695,0.0,0.0
696,0.272437,696,0.0,0.0
697,0.30062099999999997,697,0.0,0.0
698,0.272437,698,0.0,0.0
699,0.253649,699,0.0,0.0
700,0.25599725,700,0.0,0.0
701,0.23486,701,0.0,0.0
702,0.263043,702,0.0,0.0
703,0.31940900000000005,703,0.0,0.0
704,0.23486,704,0.0,0.0
705,0.39456500000000005,705,0.0,0.0
706,0.244254,706,0.0,0.0
707,0.31001500000000004,707,0.0,0.0
708,0.23486,708,0.0,0.0
709,0.31940900000000005,709,0.0,0.0
710,0.291226,710,0.0,0.0
711,0.291226,711,0.0,0.0
712,0.31940900000000005,712,0.0,0.0
713,0.34759300000000004,713,0.0,0.0
714,0.32880400000000004,714,0.0,0.0
715,0.253649,715,0.0,0.0
716,0.281832,716,0.0,0.0
717,0.22546500000000003,717,0.0,0.0
718,0.263043,718,0.0,0.0
719,0.131521,719,0.0,0.0
720,0.23486,720,0.0,0.0
721,0.291226,721,0.0,0.0
722,0.263043,722,0.0,0.0
723,0.272437,723,0.0,0.0
724,0.3006205,724,0.0,0.0
725,0.338198,725,0.0,0.0
726,0.32880400000000004,726,0.0,0.0
727,0.263043,727,0.0,0.0
728,0.31001500000000004,728,0.0,0.0
729,0.272437,729,0.0,0.0
730,0.31940900000000005,730,0.0,0.0
731,0.338198,731,0.0,0.0
732,0.37577600000000005,732,0.0,0.0
